iter	Logloss
0	0.6223998584
1	0.5789492705
2	0.552860913
3	0.5365743722
4	0.5259947867
5	0.5189367216
6	0.5141000282
7	0.5100734662
8	0.5075347685
9	0.5054540113
10	0.5037703141
11	0.5024945584
12	0.5014802218
13	0.5006454329
14	0.4999490996
15	0.499254324
16	0.4985767792
17	0.4979022501
18	0.4974996262
19	0.4970190856
20	0.4966523661
21	0.4960424326
22	0.4956085717
23	0.4952062553
24	0.4949493961
25	0.4946581507
26	0.4943885082
27	0.4942047572
28	0.4939104402
29	0.4936959997
30	0.4934816411
31	0.4932130661
32	0.4929072614
33	0.4925048704
34	0.4922940169
35	0.492020665
36	0.4918436838
37	0.4916302851
38	0.4913812089
39	0.4911955802
40	0.4910556241
41	0.4908798091
42	0.4906371401
43	0.4904144669
44	0.4902151613
45	0.4900166033
46	0.4897696051
47	0.4896084751
48	0.4894810249
49	0.4894017875
50	0.4892883719
51	0.4890638243
52	0.4888950106
53	0.4887075578
54	0.4885906413
55	0.4885102477
56	0.4883039453
57	0.4881955441
58	0.4880241103
59	0.4879406925
60	0.4877821944
61	0.4876216855
62	0.4875444029
63	0.4874374911
64	0.4872993751
65	0.4872265511
66	0.4871087799
67	0.4870195091
68	0.4869523858
69	0.4868631704
70	0.4866867092
71	0.4865734933
72	0.4864841337
73	0.4863113053
74	0.4861690761
75	0.4860995323
76	0.4860394847
77	0.4859591105
78	0.4858468908
79	0.4857521232
80	0.4856887398
81	0.4855223769
82	0.485424022
83	0.4853015437
84	0.4852109884
85	0.4851023758
86	0.4850149791
87	0.484949619
88	0.4848652544
89	0.4847958066
90	0.4847377192
91	0.4846769998
92	0.4845837621
93	0.4844757695
94	0.4844369703
95	0.484352039
96	0.4842393236
97	0.4841589483
98	0.4841252192
99	0.4840443384
100	0.4839872123
101	0.4839111104
102	0.4838624598
103	0.4838225371
104	0.4837708229
105	0.4837128806
106	0.4836513965
107	0.4835576579
108	0.4834549643
109	0.4834152449
110	0.4833499118
111	0.4833060372
112	0.4832331503
113	0.4831823513
114	0.4831077469
115	0.4830517532
116	0.482871368
117	0.4827807915
118	0.4826919621
119	0.48264257
120	0.4825777565
121	0.4825067126
122	0.4824390917
123	0.4823879454
124	0.4823159075
125	0.482274906
126	0.4822207016
127	0.4821614056
128	0.482040967
129	0.4819432164
130	0.4818985097
131	0.481855069
132	0.4817774933
133	0.4817098826
134	0.4816526147
135	0.4815762366
136	0.4815163812
137	0.4814306854
138	0.4813608354
139	0.4813280849
140	0.4812603476
141	0.4811489076
142	0.4811001258
143	0.4810413449
144	0.4810053831
145	0.4809716022
146	0.4809225526
147	0.4808954797
148	0.4808614636
149	0.4808170399
150	0.4807632815
151	0.4807211075
152	0.4806667261
153	0.4806288611
154	0.480547351
155	0.4805038479
156	0.4804429809
157	0.4803664102
158	0.4803079552
159	0.4802724129
160	0.4802212277
161	0.4801631589
162	0.4800950879
163	0.4800557511
164	0.4800135249
165	0.4799580947
166	0.4799169467
167	0.4798382489
